trust,period_end,shape_source,series,actual,predicted,residual,mix_as_of,mix_extrapolated,level_year,level_year_clamped
amex,2020-12-31,fico_fed2007,ccip,0.019007,0.013153901020645288,0.005853098979354711,,True,2020,False
amex,2020-12-31,acms2018,ccip,0.019007,0.02924361943598454,-0.010236619435984539,,True,2020,False
amex,2020-12-31,acms2018_dpd90,ccip,0.019007,0.026644588084170206,-0.007637588084170206,,True,2020,False
amex,2021-01-31,fico_odds,ccip,0.017995,0.010148592199329075,0.007846407800670925,,True,2021,False
amex,2021-01-31,fico_fed2007,ccip,0.017995,0.00949361012913773,0.008501389870862271,,True,2021,False
amex,2021-01-31,acms2018,ccip,0.017995,0.02134560187468733,-0.0033506018746873277,,True,2021,False
amex,2021-01-31,acms2018_dpd90,ccip,0.017995,0.019481562302846523,-0.0014865623028465225,,True,2021,False
amex,2021-02-28,fico_odds,ccip,0.020217,0.010148592199329075,0.010068407800670923,,True,2021,False
amex,2021-02-28,fico_fed2007,ccip,0.020217,0.00949361012913773,0.01072338987086227,,True,2021,False
amex,2021-02-28,acms2018,ccip,0.020217,0.02134560187468733,-0.0011286018746873294,,True,2021,False
amex,2021-02-28,acms2018_dpd90,ccip,0.020217,0.019481562302846523,0.0007354376971534758,,True,2021,False
amex,2021-03-31,fico_odds,ccip,0.018156,0.010148592199329075,0.008007407800670923,,True,2021,False
amex,2021-03-31,fico_fed2007,ccip,0.018156,0.00949361012913773,0.008662389870862269,,True,2021,False
amex,2021-03-31,acms2018,ccip,0.018156,0.02134560187468733,-0.0031896018746873298,,True,2021,False
amex,2021-03-31,acms2018_dpd90,ccip,0.018156,0.019481562302846523,-0.0013255623028465245,,True,2021,False
amex,2021-04-30,fico_odds,ccip,0.017084,0.010148592199329075,0.006935407800670923,,True,2021,False
amex,2021-04-30,fico_fed2007,ccip,0.017084,0.00949361012913773,0.007590389870862269,,True,2021,False
amex,2021-04-30,acms2018,ccip,0.017084,0.02134560187468733,-0.00426160187468733,,True,2021,False
amex,2021-04-30,acms2018_dpd90,ccip,0.017084,0.019481562302846523,-0.0023975623028465246,,True,2021,False
amex,2021-05-31,fico_odds,ccip,0.015484,0.010148592199329075,0.005335407800670924,,True,2021,False
amex,2021-05-31,fico_fed2007,ccip,0.015484,0.00949361012913773,0.00599038987086227,,True,2021,False
amex,2021-05-31,acms2018,ccip,0.015484,0.02134560187468733,-0.005861601874687329,,True,2021,False
amex,2021-05-31,acms2018_dpd90,ccip,0.015484,0.019481562302846523,-0.0039975623028465235,,True,2021,False
amex,2021-06-30,fico_odds,ccip,0.014084,0.010148592199329075,0.003935407800670924,,True,2021,False
amex,2021-06-30,fico_fed2007,ccip,0.014084,0.00949361012913773,0.00459038987086227,,True,2021,False
amex,2021-06-30,acms2018,ccip,0.014084,0.02134560187468733,-0.007261601874687329,,True,2021,False
amex,2021-06-30,acms2018_dpd90,ccip,0.014084,0.019481562302846523,-0.005397562302846524,,True,2021,False
amex,2021-07-31,fico_odds,ccip,0.013413,0.010148592199329075,0.003264407800670924,,True,2021,False
amex,2021-07-31,fico_fed2007,ccip,0.013413,0.00949361012913773,0.00391938987086227,,True,2021,False
amex,2021-07-31,acms2018,ccip,0.013413,0.02134560187468733,-0.007932601874687329,,True,2021,False
amex,2021-07-31,acms2018_dpd90,ccip,0.013413,0.019481562302846523,-0.0060685623028465235,,True,2021,False
amex,2021-08-31,fico_odds,ccip,0.01194,0.010148592199329075,0.0017914078006709237,,True,2021,False
amex,2021-08-31,fico_fed2007,ccip,0.01194,0.00949361012913773,0.0024463898708622697,,True,2021,False
amex,2021-08-31,acms2018,ccip,0.01194,0.02134560187468733,-0.009405601874687329,,True,2021,False
amex,2021-08-31,acms2018_dpd90,ccip,0.01194,0.019481562302846523,-0.007541562302846524,,True,2021,False
amex,2021-09-30,fico_odds,ccip,0.011804,0.010148592199329075,0.0016554078006709248,,True,2021,False
amex,2021-09-30,fico_fed2007,ccip,0.011804,0.00949361012913773,0.0023103898708622707,,True,2021,False
amex,2021-09-30,acms2018,ccip,0.011804,0.02134560187468733,-0.009541601874687328,,True,2021,False
amex,2021-09-30,acms2018_dpd90,ccip,0.011804,0.019481562302846523,-0.007677562302846523,,True,2021,False
amex,2021-10-31,fico_odds,ccip,0.01216,0.010148592199329075,0.002011407800670925,,True,2021,False
amex,2021-10-31,fico_fed2007,ccip,0.01216,0.00949361012913773,0.002666389870862271,,True,2021,False
amex,2021-10-31,acms2018,ccip,0.01216,0.02134560187468733,-0.009185601874687328,,True,2021,False
amex,2021-10-31,acms2018_dpd90,ccip,0.01216,0.019481562302846523,-0.007321562302846522,,True,2021,False
amex,2021-11-30,fico_odds,ccip,0.011777,0.010148592199329075,0.0016284078006709238,,True,2021,False
amex,2021-11-30,fico_fed2007,ccip,0.011777,0.00949361012913773,0.0022833898708622697,,True,2021,False
amex,2021-11-30,acms2018,ccip,0.011777,0.02134560187468733,-0.009568601874687329,,True,2021,False
amex,2021-11-30,acms2018_dpd90,ccip,0.011777,0.019481562302846523,-0.007704562302846524,,True,2021,False
amex,2021-12-31,fico_odds,ccip,0.012031,0.010148592199329075,0.0018824078006709245,,True,2021,False
amex,2021-12-31,fico_fed2007,ccip,0.012031,0.00949361012913773,0.0025373898708622705,,True,2021,False
amex,2021-12-31,acms2018,ccip,0.012031,0.02134560187468733,-0.009314601874687328,,True,2021,False
amex,2021-12-31,acms2018_dpd90,ccip,0.012031,0.019481562302846523,-0.007450562302846523,,True,2021,False
amex,2022-01-31,fico_odds,ccip,0.011214,0.010342837844449749,0.0008711621555502515,,True,2022,False
amex,2022-01-31,fico_fed2007,ccip,0.011214,0.009743436431283661,0.001470563568716339,,True,2022,False
amex,2022-01-31,acms2018,ccip,0.011214,0.021093417878712578,-0.009879417878712578,,True,2022,False
amex,2022-01-31,acms2018_dpd90,ccip,0.011214,0.0192741237527244,-0.0080601237527244,,True,2022,False
amex,2022-02-28,fico_odds,ccip,0.013934,0.010342837844449749,0.0035911621555502517,,True,2022,False
amex,2022-02-28,fico_fed2007,ccip,0.013934,0.009743436431283661,0.004190563568716339,,True,2022,False
amex,2022-02-28,acms2018,ccip,0.013934,0.021093417878712578,-0.007159417878712578,,True,2022,False
amex,2022-02-28,acms2018_dpd90,ccip,0.013934,0.0192741237527244,-0.005340123752724401,,True,2022,False
amex,2022-03-31,fico_odds,ccip,0.013991,0.010342837844449749,0.0036481621555502514,,True,2022,False
amex,2022-03-31,fico_fed2007,ccip,0.013991,0.009743436431283661,0.004247563568716339,,True,2022,False
amex,2022-03-31,acms2018,ccip,0.013991,0.021093417878712578,-0.007102417878712578,,True,2022,False
amex,2022-03-31,acms2018_dpd90,ccip,0.013991,0.0192741237527244,-0.005283123752724401,,True,2022,False
amex,2022-04-30,fico_odds,ccip,0.013388,0.010342837844449749,0.003045162155550252,,True,2022,False
amex,2022-04-30,fico_fed2007,ccip,0.013388,0.009743436431283661,0.0036445635687163396,,True,2022,False
amex,2022-04-30,acms2018,ccip,0.013388,0.021093417878712578,-0.0077054178787125775,,True,2022,False
amex,2022-04-30,acms2018_dpd90,ccip,0.013388,0.0192741237527244,-0.0058861237527244,,True,2022,False
amex,2022-05-31,fico_odds,ccip,0.012463,0.010342837844449749,0.0021201621555502516,,True,2022,False
amex,2022-05-31,fico_fed2007,ccip,0.012463,0.009743436431283661,0.002719563568716339,,True,2022,False
amex,2022-05-31,acms2018,ccip,0.012463,0.021093417878712578,-0.008630417878712578,,True,2022,False
amex,2022-05-31,acms2018_dpd90,ccip,0.012463,0.0192741237527244,-0.006811123752724401,,True,2022,False
amex,2022-06-30,fico_odds,ccip,0.011564,0.010342837844449749,0.001221162155550251,,True,2022,False
amex,2022-06-30,fico_fed2007,ccip,0.011564,0.009743436431283661,0.0018205635687163386,,True,2022,False
amex,2022-06-30,acms2018,ccip,0.011564,0.021093417878712578,-0.009529417878712578,,True,2022,False
amex,2022-06-30,acms2018_dpd90,ccip,0.011564,0.0192741237527244,-0.007710123752724401,,True,2022,False
amex,2022-07-31,fico_odds,ccip,0.011547,0.010342837844449749,0.0012041621555502514,,True,2022,False
amex,2022-07-31,fico_fed2007,ccip,0.011547,0.009743436431283661,0.001803563568716339,,True,2022,False
amex,2022-07-31,acms2018,ccip,0.011547,0.021093417878712578,-0.009546417878712578,,True,2022,False
amex,2022-07-31,acms2018_dpd90,ccip,0.011547,0.0192741237527244,-0.007727123752724401,,True,2022,False
amex,2022-08-31,fico_odds,ccip,0.011478,0.010342837844449749,0.0011351621555502518,,True,2022,False
amex,2022-08-31,fico_fed2007,ccip,0.011478,0.009743436431283661,0.0017345635687163394,,True,2022,False
amex,2022-08-31,acms2018,ccip,0.011478,0.021093417878712578,-0.009615417878712578,,True,2022,False
amex,2022-08-31,acms2018_dpd90,ccip,0.011478,0.0192741237527244,-0.0077961237527244005,,True,2022,False
amex,2022-09-30,fico_odds,ccip,0.011625,0.010342837844449749,0.0012821621555502514,,True,2022,False
amex,2022-09-30,fico_fed2007,ccip,0.011625,0.009743436431283661,0.001881563568716339,,True,2022,False
amex,2022-09-30,acms2018,ccip,0.011625,0.021093417878712578,-0.009468417878712578,,True,2022,False
amex,2022-09-30,acms2018_dpd90,ccip,0.011625,0.0192741237527244,-0.007649123752724401,,True,2022,False
amex,2022-10-31,fico_odds,ccip,0.011512,0.010342837844449749,0.0011691621555502511,,True,2022,False
amex,2022-10-31,fico_fed2007,ccip,0.011512,0.009743436431283661,0.0017685635687163387,,True,2022,False
amex,2022-10-31,acms2018,ccip,0.011512,0.021093417878712578,-0.009581417878712578,,True,2022,False
amex,2022-10-31,acms2018_dpd90,ccip,0.011512,0.0192741237527244,-0.007762123752724401,,True,2022,False
amex,2022-11-30,fico_odds,ccip,0.012886,0.010342837844449749,0.0025431621555502514,,True,2022,False
amex,2022-11-30,fico_fed2007,ccip,0.012886,0.009743436431283661,0.003142563568716339,,True,2022,False
amex,2022-11-30,acms2018,ccip,0.012886,0.021093417878712578,-0.008207417878712578,,True,2022,False
amex,2022-11-30,acms2018_dpd90,ccip,0.012886,0.0192741237527244,-0.006388123752724401,,True,2022,False
amex,2022-12-31,fico_odds,ccip,0.012015,0.010342837844449749,0.001672162155550251,,True,2022,False
amex,2022-12-31,fico_fed2007,ccip,0.012015,0.009743436431283661,0.0022715635687163387,,True,2022,False
amex,2022-12-31,acms2018,ccip,0.012015,0.021093417878712578,-0.009078417878712578,,True,2022,False
amex,2022-12-31,acms2018_dpd90,ccip,0.012015,0.0192741237527244,-0.007259123752724401,,True,2022,False
amex,2023-01-31,fico_odds,ccip,0.014405,0.015573474041986893,-0.001168474041986894,,True,2023,False
