lender,score_b,at_risk,d_chargeoff,d_competing,aj_chargeoff,aj_lo95,aj_hi95,km_chargeoff,n_loans,entry_age_median
americredit,840,1,0,1,0.0,,,0.0,1,10.0
americredit,none,248,0,4,0.08112724813659461,0.05412713549391047,0.12069236640920789,0.09355448287550061,492,9.0
capone,700,1559,2,28,0.008969398135089377,0.004638396964215195,0.013101540279284837,0.010441709820874778,3243,15.0
capone,720,2677,4,56,0.007861635079534069,0.005205224434481987,0.010758174725519211,0.009196694862205645,5158,15.0
capone,740,3126,1,81,0.005556710278034688,0.0037341946851724376,0.007384977733625441,0.0064185129115574835,8953,13.0
capone,760,3704,4,82,0.005435009923109887,0.0038147757411806467,0.00750825953910915,0.00644444265461952,10635,13.0
capone,780,4485,2,102,0.004493810100464557,0.003028583443889288,0.005893072575509707,0.005408481055132475,12681,13.0
capone,800,4835,2,130,0.0019889175268527994,0.0010825416452105898,0.002841621119138208,0.002350357678446602,14016,13.0
capone,820,4124,2,99,0.0015473579224083273,0.0007727348455460341,0.002267214673785176,0.0019745039731755565,12277,13.0
capone,840,1672,0,43,0.0035162126320299114,0.0004389201656624108,0.008008948043271496,0.0037319664161317156,5087,13.0
capone,860,139,0,2,0.0,0.0,0.0,0.0,417,13.0
capone,880,0,0,0,0.0,0.0,0.0,0.0,2,12.0
carmax,640,697,2,13,0.036291821109985176,0.029004263941266983,0.04441677850845151,0.043870171709562755,5550,4.0
carmax,660,1598,3,22,0.028522689954130074,0.023882429921480826,0.033203677136348544,0.03502409341238977,11531,4.0
carmax,680,1666,2,24,0.018381929094146078,0.014858694859519428,0.02201873579087407,0.022672292266905036,11983,4.0
carmax,700,1794,2,25,0.015573373198541055,0.012155176847564647,0.018243099295670466,0.019095042050819466,12575,4.0
carmax,720,1832,3,39,0.008600417139401136,0.005963966716811638,0.010793879023251683,0.010857488148042993,13087,4.0
carmax,740,1915,1,27,0.007583860376899831,0.005053867924789515,0.009706464138370303,0.009268982479291421,13224,4.0
