spec,event,factor,level,odds_ratio,lo95,hi95,p
score,chargeoff,score_b,580,1.1476589756912046,1.0551652727587701,1.2482604938664452,0.0013159376078640738
score,chargeoff,score_b,600,1.0712096224746805,0.9574204214375724,1.1985226443774661,0.2299264663933498
score,chargeoff,score_b,620,0.9269052209472917,0.7497560610065187,1.1459104278076355,0.4830543199297572
score,chargeoff,score_b,640,1.058156169312338,0.9882091478386843,1.1330541526585227,0.1052235534447844
score,chargeoff,score_b,680,0.9271828518057162,0.7375388956512776,1.1655901075203066,0.5172706206300475
score,chargeoff,score_b,700,0.7832247750824928,0.5580276467809999,1.099302251136974,0.15777194262846805
score,chargeoff,score_b,720,0.5774876564342212,0.3653764961885958,0.912735210974685,0.018727090595467635
score,chargeoff,score_b,740,0.3855220864009613,0.23470487535531084,0.6332517757798982,0.00016695528485206738
score,chargeoff,score_b,760,0.2420011990621925,0.13890106526516174,0.4216280144125555,5.475395486505364e-07
score,chargeoff,score_b,780,0.1735814192504214,0.09044790756020119,0.33312555173192937,1.401894437548865e-07
score,chargeoff,score_b,800,0.09420247884642734,0.053044848438736476,0.1672944174976885,7.509572777234905e-16
score,chargeoff,score_b,820,0.0728040831545244,0.0333588773176931,0.1588912742324102,4.715678191433404e-11
score,chargeoff,score_b,840,0.04006641023156522,0.01549705720780138,0.10358852053768898,3.173518747800299e-11
score,chargeoff,score_b,860,0.02045167149324353,0.005299881461950506,0.07892079660091385,1.6464344717822606e-08
score,chargeoff,score_b,880,0.028028470101489806,0.003050703220907932,0.25751280257156706,0.0015836661402006944
score,chargeoff,score_b,900,7.224139667258221e-10,1.1676750493591364e-10,4.469410728669465e-09,1.869598071826785e-113
score,chargeoff,score_b,none,1.1723005958568629,1.0564627662422548,1.3008396802611224,0.00274734139444242
score,chargeoff,lender,americredit,0.7225063710327977,0.6387318264904044,0.8172685852390743,2.3525132640689323e-07
score,chargeoff,lender,capone,0.1639083022760061,0.09903526595839741,0.2712764114380063,1.9914412103712524e-12
score,chargeoff,lender,carmax,0.1762039537146695,0.13193257671377084,0.23533106134991968,6.286341809595566e-32
score,chargeoff,lender,exeter,1.4042491965276473,1.1920889335785574,1.6541683681510297,4.8558110651758574e-05
score,chargeoff,lender,honda,0.11456274663961383,0.08332385359194212,0.1575133932461517,1.3993483286284168e-40
score,chargeoff,lender,toyota,0.15887415306261637,0.11335714923026435,0.22266788361174453,1.2468044378794293e-26
score,prepay,age_b,0-3,0.5785549101046041,0.5081470939662471,0.6587182884261072,1.3926225506506518e-16
score,prepay,age_b,10-12,1.0001297666661662,0.9389928026899038,1.065247302541944,0.9967830124385929
score,prepay,age_b,13-18,1.0352137999130124,0.9616510102967053,1.1144038742284366,0.35746166340376395
score,prepay,age_b,19-24,1.0937337610482445,0.9532196735567222,1.2549610265524531,0.2015745157235902
score,prepay,age_b,25-36,1.16496302389966,0.9342833759295994,1.452598731838833,0.17503557938994374
score,prepay,age_b,37-48,1.5310117792907398,1.004066993207911,2.334502661857373,0.04783622082358929
score,prepay,age_b,4-6,0.8743138139492169,0.7939330413352175,0.9628326388543232,0.0063389131147492655
score,prepay,age_b,49-60,2.5113919146155865,1.6600380854445507,3.799364245976037,1.3037512317094693e-05
score,prepay,age_b,61+,6.311139978642696,4.734512105681195,8.412796702373491,3.403581301334764e-36
