lender,score_b,at_risk,d_chargeoff,d_competing,aj_chargeoff,aj_lo95,aj_hi95,km_chargeoff,n_loans,entry_age_median
carmax,800,807,0,13,0.0022906297148192973,0.001008331032805755,0.004159583098864949,0.0030159217349166045,9559,3.0
carmax,820,743,0,16,0.0031758070178764353,0.0014254711812512499,0.0053877101425068965,0.0041355376394530685,8730,3.0
carmax,840,608,0,14,0.0014864420820505052,0.00045018437991328124,0.0027538967763098723,0.0017334781413747002,7180,3.0
carmax,860,271,0,4,0.00028350991380920125,0.0,0.0008625659401525249,0.0003011141222523106,3800,3.0
carmax,880,54,0,0,0.007221628092559607,0.0,0.018453637489897402,0.009196811771919,611,3.0
carmax,900,1,0,0,0.0,0.0,0.0,0.0,13,3.0
exeter,360,1,0,0,0.0,0.0,0.0,0.0,4,3.0
exeter,380,0,0,0,0.0,0.0,0.0,0.0,5,3.0
exeter,400,0,0,0,0.05426991137106885,0.0,0.1498143174464316,0.06666666666666676,61,3.0
exeter,420,1,0,0,0.20339748888553957,0.10215231569385855,0.341750668371828,0.24059998075973366,160,3.0
exeter,440,1,0,0,0.19336944674499648,0.12841923821364104,0.25622560896116076,0.21002272318521076,447,3.0
exeter,460,9,0,0,0.17087997986123993,0.13504752538996315,0.2106275729008538,0.19498427994961343,1031,3.0
exeter,480,15,0,0,0.17207860079508874,0.14555288065383223,0.19759505033919814,0.1919267277464901,2258,3.0
exeter,500,30,1,0,0.2097539794117339,0.17019117883323745,0.2530789222211483,0.2442543634423826,4078,3.0
exeter,520,91,1,0,0.20667687725112374,0.18820095097901712,0.22883790820167232,0.2350480566611438,7321,3.0
exeter,540,160,1,1,0.1999155592317621,0.18601128311484577,0.21319202575868504,0.22977035969713966,11862,3.0
exeter,560,170,6,1,0.20819969061960797,0.19132568677712897,0.2273889098659072,0.2458721283349541,15945,3.0
exeter,580,156,5,0,0.19911053654900804,0.181839321591489,0.220906440931656,0.2345086200228056,16991,3.0
exeter,600,114,6,1,0.2080473258420188,0.17808929486924843,0.2357209198048159,0.24637191495114663,15868,3.0
exeter,620,77,1,1,0.17042787692917455,0.1518649464215847,0.19393107056108227,0.20707106589423419,16779,3.0
exeter,640,39,2,0,0.17849044096003724,0.14243300652535654,0.22926130577985113,0.2226023628963698,7184,3.0
exeter,660,26,1,0,0.1691649202892612,0.13440583093680558,0.22421835251375383,0.2051631863858926,4376,3.0
exeter,680,6,0,0,0.14190178852087815,0.1214900660944418,0.16824238332964458,0.18003051742773357,2957,3.0
exeter,700,10,0,0,0.16319266844376995,0.13272287550922418,0.19809016325224296,0.19869567056996995,1560,3.0
exeter,720,4,0,0,0.1344310038898389,0.10767041871699444,0.16384399151681717,0.16618158926203708,841,3.0
exeter,740,3,0,0,0.11304341540645697,0.07669931220317852,0.1581218976119043,0.14035629863764199,371,3.0
exeter,760,2,0,0,0.1927787664125024,0.061058991703650624,0.452704481864701,0.2918529840100075,191,2.0
exeter,780,0,0,0,0.08660769572245565,0.05165691372699115,0.132340444929063,0.10980690732401033,178,3.0
exeter,800,0,0,0,0.03779344499956416,0.011731206728522469,0.08578949973413738,0.04900269541778979,81,3.0
exeter,820,0,0,0,0.021616031027795732,0.0,0.06483556508597477,0.040000000000000036,46,2.0
exeter,840,0,0,0,0.0,0.0,0.0,0.0,7,2.0
exeter,none,2,0,0,0.17412815120070613,0.11880070759917065,0.2552487976187034,0.2226059770487443,544,3.0
honda,440,1,0,0,0.0,,,0.0,1,6.0
honda,460,1,0,0,0.0,0.0,0.0,0.0,7,5.0
honda,480,3,0,1,0.0,0.0,0.0,0.0,9,6.0
honda,500,6,0,0,0.15,0.0,0.30000000000000004,0.16118421052631582,20,5.0
honda,520,10,0,0,0.125,0.030468750000000017,0.21953125000000018,0.13484118155975755,32,5.0
honda,540,17,0,1,0.06666666666666668,0.0,0.15555555555555556,0.07053019248141201,45,5.0
honda,560,24,0,1,0.09987593052109182,0.04652806211844557,0.15897288452547925,0.10836198416967657,93,5.0
honda,580,30,0,1,0.05087719298245614,0.016706376219650553,0.09565217391304348,0.057011957402294366,115,5.0
honda,600,59,0,1,0.05694078158714937,0.028201769977734954,0.09159510818895979,0.06223249381270424,174,5.0
honda,620,105,0,2,0.034315683823221525,0.01599055844593458,0.05030770933102833,0.04074802972186786,324,5.0
honda,640,147,0,3,0.03055124927038584,0.015443282827598505,0.04563118832025959,0.03620462124122059,478,5.0
honda,660,286,1,4,0.017792238343634137,0.009673173642143323,0.026492664468965397,0.021678559929653174,829,5.0
honda,680,474,0,7,0.004577067105027318,0.0015230001198663944,0.008405505416194762,0.005069433983035276,1309,5.0
honda,700,485,1,8,0.011814722446996065,0.006235382459734477,0.018042548674964822,0.014479285681762266,1411,5.0
honda,720,589,0,14,0.01067371907522156,0.00622780504305893,0.016712509122766717,0.012709418384697968,1756,5.0
honda,740,729,1,6,0.0023152851865228734,0.0,0.004964583447582747,0.003000980231628092,2113,5.0
honda,760,776,0,12,0.00196694375184147,0.000770850883909428,0.004146676162175019,0.0023263024314206238,2386,5.0
honda,780,878,0,22,0.0010481817276984892,0.0,0.0023364376148037737,0.0014067832315168838,2779,5.0
honda,800,798,0,16,0.00030729292002005566,0.0,0.0009304663201128465,0.0004766444232602307,2734,5.0
honda,820,865,0,27,0.00032997134620061996,0.0,0.0012880917763202098,0.000455166135639562,2937,5.0
honda,840,888,0,16,0.0,0.0,0.0,0.0,2820,5.0
honda,860,581,0,15,0.0,0.0,0.0,0.0,1866,5.0
honda,880,120,0,1,0.0,0.0,0.0,0.0,352,5.0
santander,360,0,0,0,0.0,,,0.0,1,2.0
santander,380,0,0,0,0.5,0.0,1.0,0.5,6,3.0
santander,400,0,0,0,0.22499964733597594,0.07486593409465106,0.4071143891898208,0.24074945861971564,64,3.0
santander,420,2,0,0,0.11281147726335418,0.06347708311726914,0.15984522728208567,0.13819117070178777,228,3.0
santander,440,3,0,0,0.154451023598765,0.11720240291970008,0.1999224037947517,0.17471787706784392,585,3.0
santander,460,5,0,0,0.193455423624053,0.12151139697561318,0.31785446945006607,0.24606352939844922,1470,3.0
santander,480,22,0,0,0.15816765800990318,0.13589100200397572,0.1805510014090306,0.18317578019231806,2829,3.0
santander,500,20,0,0,0.15012506160109704,0.12843245072580495,0.18130604798554117,0.17522358427363205,5266,3.0
santander,520,30,0,0,0.15055476975837173,0.13451010266961122,0.17451162011945573,0.1760184070528602,7537,3.0
santander,540,58,2,0,0.16594277572126462,0.13942277920002838,0.2054703527628046,0.19691988640817748,10483,3.0
santander,560,80,0,2,0.13301421966394542,0.12226454275425551,0.1464344763666043,0.15638171163655668,13250,3.0
santander,580,80,0,4,0.14166546543711322,0.12865656846605017,0.1534589982168269,0.17069981176132543,15692,3.0
santander,600,93,0,2,0.1292054115894935,0.1192455748709201,0.14176756818450084,0.15835616574929035,15740,3.0
santander,620,89,0,0,0.11948292335133961,0.10939433466471953,0.12909443788947048,0.14670353659127422,12992,3.0
santander,640,33,0,2,0.13954319585766295,0.123064358729549,0.15887422698305512,0.17343203567432952,7121,3.0
santander,660,30,0,1,0.12283208482156095,0.10863581296717349,0.14006865026193446,0.15278942706090382,4430,3.0
santander,680,18,0,0,0.13774811927632613,0.1039469781411146,0.17290423046172404,0.17510811270405735,3161,3.0
santander,700,12,0,0,0.08777609211499342,0.06809285726036332,0.11097497164636401,0.11200425873815834,2031,3.0
