lender,score_b,age,at_risk,d_chargeoff,d_competing,aj_chargeoff,aj_lo95,aj_hi95,km_chargeoff,n_loans,entry_age_median
americredit,400,35,2,0,0,0.13333333333333333,0.0,0.42857142857142855,0.16666666666666663,11,18.0
americredit,400,36,2,0,0,0.13333333333333333,0.0,0.42857142857142855,0.16666666666666663,11,18.0
americredit,420,0,0,0,0,0.0,0.0,0.0,0.0,33,16.0
americredit,420,1,0,0,0,0.0,0.0,0.0,0.0,33,16.0
americredit,420,2,1,0,0,0.0,0.0,0.0,0.0,33,16.0
americredit,420,3,4,0,0,0.0,0.0,0.0,0.0,33,16.0
americredit,420,4,6,0,0,0.0,0.0,0.0,0.0,33,16.0
americredit,420,5,11,0,0,0.0,0.0,0.0,0.0,33,16.0
americredit,420,6,12,0,0,0.0,0.0,0.0,0.0,33,16.0
americredit,420,7,12,0,0,0.0,0.0,0.0,0.0,33,16.0
americredit,420,8,13,0,0,0.0,0.0,0.0,0.0,33,16.0
americredit,420,9,14,0,0,0.0,0.0,0.0,0.0,33,16.0
americredit,420,10,15,0,0,0.0,0.0,0.0,0.0,33,16.0
americredit,420,11,15,0,0,0.0,0.0,0.0,0.0,33,16.0
americredit,420,12,15,0,0,0.0,0.0,0.0,0.0,33,16.0
americredit,420,13,15,0,1,0.0,0.0,0.0,0.0,33,16.0
americredit,420,14,15,0,0,0.0,0.0,0.0,0.0,33,16.0
americredit,420,15,15,1,0,0.06222222222222222,0.0,0.23076923076923078,0.06666666666666665,33,16.0
americredit,420,16,16,1,0,0.11666666666666667,0.0,0.28170135241596644,0.125,33,16.0
americredit,420,17,15,0,0,0.11666666666666667,0.0,0.28170135241596644,0.125,33,16.0
americredit,420,18,15,0,0,0.11666666666666667,0.0,0.28170135241596644,0.125,33,16.0
americredit,420,19,15,0,0,0.11666666666666667,0.0,0.28170135241596644,0.125,33,16.0
americredit,420,20,16,0,0,0.11666666666666667,0.0,0.28170135241596644,0.125,33,16.0
americredit,420,21,17,0,0,0.11666666666666667,0.0,0.28170135241596644,0.125,33,16.0
americredit,420,22,17,1,0,0.16470588235294117,0.0,0.3365648805401662,0.17647058823529416,33,16.0
americredit,420,23,16,1,0,0.21274509803921568,0.04151785714285714,0.3884958798511431,0.2279411764705883,33,16.0
americredit,420,24,16,0,0,0.21274509803921568,0.04151785714285714,0.3884958798511431,0.2279411764705883,33,16.0
americredit,420,25,17,0,1,0.21274509803921568,0.04151785714285714,0.3884958798511431,0.2279411764705883,33,16.0
americredit,420,26,16,0,0,0.21274509803921568,0.04151785714285714,0.3884958798511431,0.2279411764705883,33,16.0
americredit,420,27,16,0,0,0.21274509803921568,0.04151785714285714,0.3884958798511431,0.2279411764705883,33,16.0
americredit,420,28,17,1,0,0.25263925639459933,0.06092023172905526,0.4279388410687561,0.2733564013840831,33,16.0
americredit,420,29,15,0,0,0.25263925639459933,0.06092023172905526,0.4279388410687561,0.2733564013840831,33,16.0
