lender,age,at_risk,d_chargeoff,d_competing,aj_chargeoff,aj_lo95,aj_hi95,km_chargeoff,n_loans,entry_age_median
americredit,35,13568,119,177,0.1519939756154423,0.1491425027709245,0.15564860453366638,0.19167699760125279,72665,9.0
americredit,36,10093,89,138,0.15667617829758584,0.15367073094297404,0.160644030690565,0.19880478390993095,72665,9.0
capone,0,0,0,0,0.0,0.0,0.0,0.0,72469,13.0
capone,1,0,0,0,0.0,0.0,0.0,0.0,72469,13.0
capone,2,0,0,0,0.0,0.0,0.0,0.0,72469,13.0
capone,3,0,0,0,0.0,0.0,0.0,0.0,72469,13.0
capone,4,0,0,0,0.0,0.0,0.0,0.0,72469,13.0
capone,5,0,0,0,0.0,0.0,0.0,0.0,72469,13.0
capone,6,0,0,0,0.0,0.0,0.0,0.0,72469,13.0
capone,7,0,0,0,0.0,0.0,0.0,0.0,72469,13.0
capone,8,5510,1,87,0.00018148820326678765,0.0,0.0005535851354987849,0.0001814882032667997,72469,13.0
capone,9,11793,0,161,0.00018148820326678765,0.0,0.0005535851354987849,0.0001814882032667997,72469,13.0
capone,10,18432,3,329,0.00033946263520111925,5.2678399864669004e-05,0.0008105729886718395,0.0003442190808378154,72469,13.0
capone,11,24535,3,408,0.0004560037893894789,0.00018202771369494917,0.0009135934106469804,0.0004664512937074816,72469,13.0
capone,12,30264,12,552,0.000827592317494156,0.00047773320641560167,0.001285657050221221,0.0008627770465648998,72469,13.0
capone,13,34906,5,655,0.0009593292118760783,0.0005872881313522125,0.001468255376060149,0.00100589531032369,72469,13.0
capone,14,39734,14,691,0.0012772456743014387,0.0008543358580551264,0.0017965187926397988,0.0013578839715623348,72469,13.0
capone,15,45696,8,891,0.0014324072590853447,0.0009987882879194984,0.002018403300286633,0.0015327162747885703,72469,13.0
capone,16,50139,15,956,0.0016923386565590416,0.0012198584838275606,0.0022269947542015024,0.0018314260467401366,72469,13.0
capone,17,55057,14,1082,0.0019089920609869546,0.001458020659002037,0.002484929505044033,0.002085242274201593,72469,13.0
capone,18,55464,21,1151,0.002225165642670604,0.0017564194411306524,0.002823554287654955,0.002463076723794866,72469,13.0
capone,19,55566,17,1130,0.0024752473418640708,0.002021606427523943,0.003067447993675682,0.0027682656467998834,72469,13.0
capone,20,48806,23,1030,0.002852505089505288,0.002391249166729787,0.003462658320872693,0.003238214626231084,72469,13.0
capone,21,42488,16,938,0.003147466150193295,0.002599865268441822,0.0037593616906039357,0.003613572105189311,72469,13.0
capone,22,36502,11,742,0.0033782069993946616,0.0028304575998054186,0.004091762691448196,0.003913836493629419,72469,13.0
capone,23,31525,13,724,0.003687438662678622,0.003119279993253674,0.004344924431538379,0.004324593674456811,72469,13.0
capone,24,26321,17,623,0.004160446806618008,0.0035652118320946297,0.004799880636415153,0.004967672657304578,72469,13.0
capone,25,20290,12,482,0.004583048104661347,0.003958752373302786,0.005248905011044756,0.005556159001716132,72469,13.0
capone,26,15554,9,353,0.0049864402527936245,0.0042990443091656194,0.005668654811871601,0.006131573336870089,72469,13.0
capone,27,10488,5,222,0.005311061699231117,0.004557535405534734,0.0060564450849331835,0.006605385515866646,72469,13.0
capone,28,5327,4,122,0.005811296827730477,0.00490132785710236,0.00669185921793024,0.0073513172706886065,72469,13.0
capone,29,0,0,0,0.005811296827730477,0.00490132785710236,0.00669185921793024,0.0073513172706886065,72469,13.0
capone,30,0,0,0,0.005811296827730477,0.00490132785710236,0.00669185921793024,0.0073513172706886065,72469,13.0
capone,31,0,0,0,0.005811296827730477,0.00490132785710236,0.00669185921793024,0.0073513172706886065,72469,13.0
capone,32,0,0,0,0.005811296827730477,0.00490132785710236,0.00669185921793024,0.0073513172706886065,72469,13.0
capone,33,0,0,0,0.005811296827730477,0.00490132785710236,0.00669185921793024,0.0073513172706886065,72469,13.0
capone,34,0,0,0,0.005811296827730477,0.00490132785710236,0.00669185921793024,0.0073513172706886065,72469,13.0
capone,35,0,0,0,0.005811296827730477,0.00490132785710236,0.00669185921793024,0.0073513172706886065,72469,13.0
capone,36,0,0,0,0.005811296827730477,0.00490132785710236,0.00669185921793024,0.0073513172706886065,72469,13.0
carmax,0,0,0,0,0.0,0.0,0.0,0.0,135307,4.0
carmax,1,14051,0,29,0.0,0.0,0.0,0.0,135307,4.0
carmax,2,40172,0,294,0.0,0.0,0.0,0.0,135307,4.0
carmax,3,63950,2,693,3.098147504070692e-05,0.0,7.752969758799324e-05,3.127443315087408e-05,135307,4.0
carmax,4,80756,3,1061,6.738248308407056e-05,1.53890114075259e-05,0.00012774923182958315,6.842221383218661e-05,135307,4.0
carmax,5,87676,9,1245,0.00016664120153581568,8.130040644685507e-05,0.0002659157084566764,0.00017106585861614843,135307,4.0
carmax,6,86243,10,1236,0.0002771575715089886,0.00015782301883152664,0.00037711909328682816,0.0002869974628206817,135307,4.0
carmax,7,76417,12,1081,0.00042466757423523715,0.00028317967395721306,0.00058937297086864,0.0004439855156158634,135307,4.0
carmax,8,65876,21,969,0.0007198331281450967,0.0005188888426782587,0.0009313824712150011,0.0007626247211561799,135307,4.0
carmax,9,61036,16,939,0.000958906550930652,0.0007523470859632447,0.001201302230285955,0.0010245651825963042,135307,4.0
carmax,10,59857,24,953,0.0013188586947328544,0.0010689807563657606,0.0015462052398899718,0.001425109988310247,135307,4.0
carmax,11,58219,31,924,0.0017890756406892746,0.0014808320823421254,0.00212324158168274,0.0019568233738092022,135307,4.0
carmax,12,57222,28,958,0.002214099452538629,0.0018756705516972277,0.0026026375166594896,0.0024451881451478252,135307,4.0
carmax,13,56479,30,945,0.0026675228314524155,0.002331448717278482,0.003012142716042624,0.002975060210085978,135307,4.0
carmax,14,55887,38,921,0.0032379231192252254,0.002844601951360419,0.0036355912412007517,0.0036529807946945603,135307,4.0
