lender,var,cutoff,left,right,jump,se,t,n_left,n_right,stable_across_bandwidths,flag,known_selection
americredit,orig_apr,635,0.13322757480354847,0.13472316130178175,0.0014955864982332812,0.0005996719949975622,2.4940075753235087,16082,6432,False,False,False
americredit,orig_apr,640,0.1339982369436868,0.15719932226060154,0.023201085316914755,0.0008671763064523551,26.754750036738326,17577,3265,True,True,True
americredit,orig_apr,645,0.14305846130106806,0.15270557837110457,0.009647117070036515,0.0008856228489601198,10.893030911932728,15847,3045,False,False,False
americredit,orig_apr,650,0.1535594407946605,0.15551015092327442,0.0019507101286139195,0.0009251306844049877,2.108577913906887,12644,2740,False,False,False
americredit,orig_apr,655,0.16022967953215972,0.15485318406936482,-0.005376495462794895,0.000996401591133358,-5.395912160958509,9887,2410,False,False,False
americredit,orig_apr,660,0.16018548001458388,0.1491535701230161,-0.01103190989156777,0.0010977061333628118,-10.049966522252749,6432,2116,True,True,False
americredit,orig_apr,665,0.15286563219379878,0.14624430304919334,-0.006621329144605448,0.0013404198104529468,-4.939742827560872,3265,1692,True,True,False
americredit,orig_apr,670,0.14767639381366485,0.1479698236578375,0.00029342984417266016,0.0014731672117079984,0.1991829860457293,3045,1391,False,False,False
americredit,orig_apr,675,0.1469658047629695,0.15265476881742954,0.005688964054460038,0.001581431373140507,3.597351204157871,2740,1152,True,True,False
americredit,orig_apr,680,0.15019450175359625,0.16154314651905677,0.01134864476546052,0.001770327254430669,6.410478479082221,2410,911,True,True,False
americredit,orig_amount,485,22762.284331429968,23068.057609823423,305.77327839345526,284.8540169156459,1.0734385342510517,1187,3933,False,False,False
americredit,orig_amount,490,23135.128223702763,23159.3589872546,24.2307635518373,250.16024153909186,0.09686096960396012,1585,4764,False,False,False
americredit,orig_amount,495,23477.58857858243,23107.918374916757,-369.6702036656716,228.51844289601843,-1.6176821397031866,2061,5318,False,False,False
americredit,orig_amount,500,23467.66297816448,23437.772001200516,-29.89097696396493,209.13879548456887,-0.1429241135998147,2671,6059,False,False,False
americredit,orig_amount,505,23187.553471306364,24214.177283328543,1026.6238120221788,192.20163777037888,5.341389511200079,3266,6698,True,False,False
americredit,orig_amount,510,23829.02775007437,24537.269826606782,708.2420765324132,183.46994251454353,3.8602621597064672,3933,7328,True,False,False
americredit,orig_amount,515,24823.413663222746,24526.031927192576,-297.3817360301691,175.27656483231678,-1.6966428815778518,4764,7704,False,False,False
americredit,orig_amount,520,24855.049900103317,24832.747092148435,-22.302807954882155,169.68159641566018,-0.13143916857222468,5318,8546,False,False,False
americredit,orig_amount,525,24918.98335057424,25105.608386451062,186.62503587682295,163.4944502207642,1.1414762741171083,6059,9124,False,False,False
americredit,orig_amount,530,25350.767402305275,25006.88750049105,-343.87990181422356,160.00833111686157,-2.149137481866941,6698,9496,True,False,False
americredit,orig_amount,535,25498.63472040411,25034.431247159624,-464.2034732444845,155.15686843382662,-2.991833219697033,7328,10097,True,False,False
americredit,orig_amount,540,25201.74944564878,25483.60345919019,281.8540135414114,152.4155405792044,1.8492472123926424,7704,10590,False,False,False
americredit,orig_amount,545,25530.808021211556,25619.1159760236,88.30795481204404,149.65869878197861,0.5900622919399443,8546,10778,False,False,False
americredit,orig_amount,550,25874.29373453482,25559.90206135802,-314.39167317679676,149.55559855261023,-2.1021725446553643,9124,11171,True,False,False
americredit,orig_amount,555,25994.014220698446,25612.461370568453,-381.5528501299923,150.3187710464866,-2.5382914420714346,9496,11576,False,False,False
americredit,orig_amount,560,25740.804358381145,25990.823343397384,250.01898501623873,151.96447487997753,1.6452462670219816,10097,11491,True,False,False
americredit,orig_amount,565,26008.36989342125,26389.33443748813,380.96454406687917,153.08114301863583,2.4886444963407492,10590,11718,False,False,False
americredit,orig_amount,570,26456.384904070906,26667.10530831554,210.72040424463194,154.4228579860728,1.364567441587155,10778,11980,False,False,False
americredit,orig_amount,575,26834.450519744976,26881.094955189106,46.64443544413007,156.46087356689011,0.2981220440661074,11171,11744,False,False,False
americredit,orig_amount,580,27185.881242869556,26819.278194664883,-366.60304820467354,157.823750329782,-2.3228636212143923,11576,11693,True,False,False
americredit,orig_amount,585,27165.099774263384,27294.7401721465,129.64039788311493,159.82384170263163,0.8111455493875811,11491,11921,False,False,False
americredit,orig_amount,590,27650.840694307077,27301.256923951107,-349.58377035597005,162.1886290540928,-2.1554147932243612,11718,11791,True,False,False
americredit,orig_amount,595,27674.919312200665,27904.71254985566,229.7932376549943,164.9411275537149,1.3931833804165041,11980,11745,False,False,False
americredit,orig_amount,600,28127.91929684218,28048.71866160289,-79.20063523929275,163.53441380214522,-0.4843056173798069,11744,13467,False,False,False
