variant,shape,trust,level,mix_dot_shape,actual,expected,act_over_exp
straddle_to_upper_tier,fico_fed2007,synchrony,0.02938013469303987,0.9257210302593434,0.02544742097826087,0.027197808557199145,0.9356423303275677
straddle_to_upper_tier,acms2018,amex,0.019485874664535184,0.638444382592928,0.007383939130434783,0.012440647219482345,0.5935333588489963
straddle_to_upper_tier,acms2018,bofa,0.019485874664535184,0.586710331400677,0.013124349148936171,0.011432563982061493,1.1479795056934918
straddle_to_upper_tier,acms2018,chase,0.019485874664535184,0.6358059270578962,0.009015357717391304,0.012389234605618764,0.7276767293842882
straddle_to_upper_tier,acms2018,citi,0.019485874664535184,0.6971008702400664,0.013027337340425531,0.013583620186036338,0.9590475265067663
straddle_to_upper_tier,acms2018,comet,0.019485874664535184,0.6265413225759155,0.015954283,0.0122087056838664,1.3067956106996106
straddle_to_upper_tier,acms2018,synchrony,0.019485874664535184,0.8126812689660958,0.02544742097826087,0.01583580534928875,1.606954645941251
straddle_to_upper_tier,acms2018_dpd90,amex,0.022465771871789695,0.5467826955272681,0.007383939130434783,0.012283895301157848,0.6011072993872547
straddle_to_upper_tier,acms2018_dpd90,bofa,0.022465771871789695,0.4802085339690234,0.013124349148936171,0.010788255375034653,1.216540459294978
straddle_to_upper_tier,acms2018_dpd90,chase,0.022465771871789695,0.5465465966230252,0.009015357717391304,0.012278591157035949,0.7342338874297701
straddle_to_upper_tier,acms2018_dpd90,citi,0.022465771871789695,0.6202299609695734,0.013027337340425531,0.013933944811191461,0.9349353336007359
straddle_to_upper_tier,acms2018_dpd90,comet,0.022465771871789695,0.532485662233628,0.015954283,0.011962701412739548,1.333668913863357
straddle_to_upper_tier,acms2018_dpd90,synchrony,0.022465771871789695,0.7816327905701018,0.02544742097826087,0.01755998396045828,1.44917108327454
